日期,契約,到期月份(週別),開盤價,最高價,最低價,最後成交價,漲跌價,漲跌%,合計成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
20260311,ZFF,202603,2433,2465.2,2426.2,2440.6,27.8,1.15%,245,2434.6,347,2434.4,2439.4,2618.2,2338.2,,一般,
20260311,ZFF,202603,2420,2427.2,2418.8,2427.2,14.4,0.60%,92,NULL,-,2419.8,2427.2,2618.2,2338.2,,盤後,
20260311,ZFF,202604,2435,2455,2435,2442,23.8,0.98%,21,2441,20,2440.2,2445.2,2580,2423.2,,一般,
20260311,ZFF,202604,-,-,-,-,-,-,0,NULL,-,2421.6,2432.8,2580,2423.2,,盤後,
20260311,ZFF,202605,-,-,-,-,-,-,0,2444.6,0,-,-,-,-,,一般,
20260311,ZFF,202605,-,-,-,-,-,-,0,NULL,-,2388.8,2478.2,-,-,,盤後,
20260311,ZFF,202606,-,-,-,-,-,-,0,2372.6,0,-,-,-,-,,一般,
20260311,ZFF,202606,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,ZFF,202609,-,-,-,-,-,-,0,2298,0,-,-,-,-,,一般,
20260311,ZFF,202609,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,ZFF,202612,-,-,-,-,-,-,0,2300.8,0,-,-,-,-,,一般,
20260311,ZFF,202612,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,ZEF,202603,2055.35,2128,2055.35,2116.8,93.85,4.64%,1334,2114.55,899,2115.45,2116.7,2225.2,1634.8,,一般,
20260311,ZEF,202603,2028,2073.15,2018,2045,22.05,1.09%,1701,NULL,-,2044.25,2047.7,2225.2,1634.8,,盤後,
20260311,ZEF,202604,2035.35,2130,2035.35,2123.05,95.2,4.69%,45,2119.45,95,2118.7,2120.3,2226.9,1913,,一般,
20260311,ZEF,202604,2043.35,2075,2027,2050,22.15,1.09%,25,NULL,-,2047.55,2052.25,2226.9,1913,,盤後,
20260311,ZEF,202605,-,-,-,-,-,-,0,2125.05,0,-,-,-,-,,一般,
20260311,ZEF,202605,-,-,-,-,-,-,0,NULL,-,2015.25,2088.7,-,-,,盤後,
20260311,ZEF,202606,-,-,-,-,-,-,0,2064.45,0,-,-,-,-,,一般,
20260311,ZEF,202606,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,ZEF,202609,-,-,-,-,-,-,0,2052.6,0,-,-,-,-,,一般,
20260311,ZEF,202609,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,ZEF,202612,-,-,-,-,-,-,0,2058.5,0,-,-,-,-,,一般,
20260311,ZEF,202612,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,XJF,202603,158.16,158.25,157.96,158,0.8,0.51%,13,158,533,157,158.17,158.77,143.64,,一般,
20260311,XJF,202603,157.53,157.53,157.53,157.53,0.33,0.21%,1,NULL,-,157.38,158.14,158.77,143.64,,盤後,
20260311,XJF,202606,156.73,157.05,156.73,156.9,0.93,0.60%,12,156.9,249,156,157.05,157.48,150.8,,一般,
20260311,XJF,202606,156.49,156.51,156.46,156.51,0.54,0.35%,10,NULL,-,156,156.94,157.48,150.8,,盤後,
20260311,XJF,202609,-,-,-,-,-,-,0,155.86,0,-,-,-,-,,一般,
20260311,XJF,202609,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,XJF,202612,-,-,-,-,-,-,0,154.96,0,-,-,-,-,,一般,
20260311,XJF,202612,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260311,XIF,202603,13996,14117,13964,14092,226,1.63%,98,14092,94,14021,14141,14944,13756,,一般,
20260311,XIF,202604,14142,14142,14142,14142,222,1.59%,1,14142,34,14045,14167,14844,13860,,一般,
20260311,XIF,202605,-,-,-,-,-,-,0,14112,0,-,-,-,-,,一般,
20260311,XIF,202606,-,-,-,-,-,-,0,14308,0,-,-,-,-,,一般,
20260311,XIF,202609,-,-,-,-,-,-,0,13696,0,-,-,-,-,,一般,
